LastName,Name,State,District,Party,Term,ImageUrl
Kennedy,"Kennedy, Mike",Utah,3.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742e7c0b34857ecc9090f5_200.jpg
Johnson,"Johnson, Julie",Texas,32.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67742df60b34857ecc9090e9_200.jpg
Gill,"Gill, Brandon",Texas,26.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677428ac0b34857ecc9090b3_200.jpg
Goldman,"Goldman, Craig",Texas,12.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/6774277d0b34857ecc9090a7_200.jpg
Maloy,"Maloy, Celeste",Utah,2.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/m001228_200.jpg
McClellan,"McClellan, Jennifer L.",Virginia,4.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/m001227_200.jpg
Self,"Self, Keith",Texas,3.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/s001224_200.jpg
Moran,"Moran, Nathaniel",Texas,1.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/m001224_200.jpg
Luttrell,"Luttrell, Morgan",Texas,8.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/l000603_200.jpg
Kiggans,"Kiggans, Jennifer A.",Virginia,2.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/66b0ce45b0288a917d98f619_200.jpg
Casar,"Casar, Greg",Texas,35.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/c001131_200.jpg
Pfluger,"Pfluger, August",Texas,11.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/p000048_200.jpg
Jackson,"Jackson, Ronny",Texas,13.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/j000304_200.jpg
Gonzales,"Gonzales, Tony",Texas,23.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/g000594_200.jpg
Fletcher,"Fletcher, Lizzie",Texas,7.0,Democratic,House of Representatives: 2019,https://www.congress.gov/img/member/67813f931f9ad6ea6fb1eb6f_200.jpg
Cloud,"Cloud, Michael",Texas,27.0,Republican,House of Representatives: 2018,https://www.congress.gov/img/member/115_rp_tx_27_cloud_michael_200.jpg
Arrington,"Arrington, Jodey C.",Texas,19.0,Republican,House of Representatives: 2017,https://www.congress.gov/img/member/115_rp_tx_19_arrington_jodey_200.jpg
Gonzalez,"Gonzalez, Vicente",Texas,34.0,Democratic,House of Representatives: 2017,https://www.congress.gov/img/member/115_rp_tx_15_gonzalez_vicente_200.jpg
Beyer,"Beyer, Donald S.",Virginia,8.0,Democratic,House of Representatives: 2015,https://www.congress.gov/img/member/b001292_200.jpg
Veasey,"Veasey, Marc A.",Texas,33.0,Democratic,House of Representatives: 2013,https://www.congress.gov/img/member/v000131_200.jpg
Griffith,"Griffith, H. Morgan",Virginia,9.0,Republican,House of Representatives: 2011,https://www.congress.gov/img/member/g000568_200.jpg
Cuellar,"Cuellar, Henry",Texas,28.0,Democratic,House of Representatives: 2005,https://www.congress.gov/img/member/116_rp_tx_28_cuellar_henry_200.jpg
Taylor,"Taylor, David",Ohio,2.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677460190b34857ecc9091a3_200.jpg
Mannion,"Mannion, John",New York,22.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677446860b34857ecc909119_200.jpg
Mackenzie,"Mackenzie, Ryan",Pennsylvania,7.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677430a40b34857ecc909113_200.jpg
Hernández,"Hernández, Pablo",Puerto Rico,0.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67742d980b34857ecc9090e3_200.jpg
Dexter,"Dexter, Maxine",Oregon,3.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677425260b34857ecc90907d_200.jpg
Bresnahan,"Bresnahan, Robert",Pennsylvania,8.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/6774236f0b34857ecc90905f_200.jpg
Bynum,"Bynum, Janelle",Oregon,5.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677423150b34857ecc909059_200.jpg
Biggs,"Biggs, Sheri",South Carolina,3.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677422990b34857ecc909052_200.jpg
Rulli,"Rulli, Michael A.",Ohio,6.0,Republican,House of Representatives: 2024,https://www.congress.gov/img/member/668e9425658443009a697c95_200.jpg
Kennedy,"Kennedy, Timothy M.",New York,26.0,Democratic,House of Representatives: 2024,https://www.congress.gov/img/member/668e9306658443009a697c8c_200.jpg
Amo,"Amo, Gabe",Rhode Island,1.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/669ace45fa2fb0d731226768_200.jpg
Salinas,"Salinas, Andrea",Oregon,6.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/s001226_200.jpg
Magaziner,"Magaziner, Seth",Rhode Island,2.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/m001223_200.jpg
Lee,"Lee, Summer L.",Pennsylvania,12.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/l000602_200.jpg
Langworthy,"Langworthy, Nicholas A.",New York,23.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/l000600_200.jpg
Landsman,"Landsman, Greg",Ohio,1.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/l000601_200.jpg
Fry,"Fry, Russell",South Carolina,7.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/f000478_200.jpg
Brecheen,"Brecheen, Josh",Oklahoma,2.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/b001317_200.jpg
Brown,"Brown, Shontel M.",Ohio,11.0,Democratic,House of Representatives: 2021,https://www.congress.gov/img/member/b001313_200.jpg
Bice,"Bice, Stephanie I.",Oklahoma,5.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/b000740_200.jpg
Reschenthaler,"Reschenthaler, Guy",Pennsylvania,14.0,Republican,House of Representatives: 2019,https://www.congress.gov/img/member/r000610_200.jpg
Joyce,"Joyce, John",Pennsylvania,13.0,Republican,House of Representatives: 2019,https://www.congress.gov/img/member/j000302_200.jpg
Hern,"Hern, Kevin",Oklahoma,1.0,Republican,House of Representatives: 2018,https://www.congress.gov/img/member/h001082_200.jpg
Scanlon,"Scanlon, Mary Gay",Pennsylvania,5.0,Democratic,House of Representatives: 2018,https://www.congress.gov/img/member/116_rp_pa_5_scanlon_mary_200.jpg
Tenney,"Tenney, Claudia",New York,24.0,Republican,"House of Representatives: 2017 - 2019
House of Representatives: 2021",https://www.congress.gov/img/member/t000478_200.jpg
Latta,"Latta, Robert E.",Ohio,5.0,Republican,House of Representatives: 2007,https://www.congress.gov/img/member/l000566_200.jpg
Kaptur,"Kaptur, Marcy",Ohio,9.0,Democratic,House of Representatives: 1983,https://www.congress.gov/img/member/k000009_200.jpg
Riley,"Riley, Josh",New York,19.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67745e360b34857ecc909179_200.jpg
Pou,"Pou, Nellie",New Jersey,9.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67745d3b0b34857ecc909167_200.jpg
Latimer,"Latimer, George",New York,16.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/6774301b0b34857ecc909107_200.jpg
Gillen,"Gillen, Laura",New York,4.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677427de0b34857ecc9090ad_200.jpg
McIver,"McIver, LaMonica",New Jersey,10.0,Democratic,House of Representatives: 2024,https://www.congress.gov/img/member/66fd489d799e1a7c06d68d62_200.jpg
Vasquez,"Vasquez, Gabe",New Mexico,2.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/v000136_200.jpg
Menendez,"Menendez, Robert",New Jersey,8.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/m001226_200.jpg
Lawler,"Lawler, Michael",New York,17.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/l000599_200.jpg
LaLota,"LaLota, Nick",New York,1.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/l000598_200.jpg
Ryan,"Ryan, Patrick",New York,18.0,Democratic,House of Representatives: 2022,https://www.congress.gov/img/member/r000579_200.jpg
Malliotakis,"Malliotakis, Nicole",New York,11.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/m000317_200.jpg
Leger Fernandez,"Leger Fernandez, Teresa",New Mexico,3.0,Democratic,House of Representatives: 2021,https://www.congress.gov/img/member/l000273_200.jpg
Suozzi,"Suozzi, Thomas R.",New York,3.0,Democratic,House of Representatives: 2017,https://www.congress.gov/img/member/116_rp_ny_3_suozzi_thomas_200.jpg
Jeffries,"Jeffries, Hakeem S.",New York,8.0,Democratic,House of Representatives: 2013,https://www.congress.gov/img/member/j000294_200.jpg
Meng,"Meng, Grace",New York,6.0,Democratic,House of Representatives: 2013,https://www.congress.gov/img/member/m001188_200.jpg
Tonko,"Tonko, Paul",New York,20.0,Democratic,House of Representatives: 2009,https://www.congress.gov/img/member/t000469_200.jpg
Titus,"Titus, Dina",Nevada,1.0,Democratic,"House of Representatives: 2009 - 2011
House of Representatives: 2013",https://www.congress.gov/img/member/t000468_200.jpg
McDowell,"McDowell, Addison",North Carolina,6.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67744e930b34857ecc90914f_200.jpg
Moore,"Moore, Tim",North Carolina,14.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67744a540b34857ecc909137_200.jpg
Knott,"Knott, Brad",North Carolina,13.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742fc60b34857ecc909101_200.jpg
